Date,Time,Police Station,City,State,Crime Type,Fir Number
2022-06-13,03:05:40,Cantonment Police Station,Chennai,Tamil Nadu,Robbery,FIR002605
2022-02-10,10:19:41,Cantonment Police Station,Lucknow,Uttar Pradesh,Theft,FIR002606
2022-05-19,05:40:45,Sector 18 Police Station,Lucknow,Uttar Pradesh,Murder,FIR002607
2023-02-17,02:40:16,Lajpat Nagar Police Station,Kolkata,West Bengal,Murder,FIR002608
2022-09-05,13:36:29,MG Road Police Station,Hyderabad,Telangana,Fraud,FIR002609
2022-02-19,11:23:37,Bandra Police Station,Kolkata,West Bengal,Kidnapping,FIR002610
2024-03-05,00:10:25,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002611
2021-11-06,20:03:18,Cantonment Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002612
2021-10-02,19:29:23,Cantonment Police Station,Kolkata,West Bengal,Assault,FIR002613
2020-10-02,12:14:54,Connaught Place Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002614
2023-09-30,20:35:56,Nungambakkam Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002615
2024-07-03,08:59:16,MG Road Police Station,Mumbai,Maharashtra,Cyber Crime,FIR002616
2020-10-13,01:40:02,Park Street Police Station,Mumbai,Maharashtra,Robbery,FIR002617
2022-10-29,23:36:32,Sector 18 Police Station,New Delhi,Delhi,Robbery,FIR002618
2022-11-05,20:20:21,Connaught Place Police Station,Chennai,Tamil Nadu,Fraud,FIR002619
2023-07-07,20:28:11,Connaught Place Police Station,Ahmedabad,Gujarat,Theft,FIR002620
2024-02-06,18:15:19,Nungambakkam Police Station,Bengaluru,Karnataka,Kidnapping,FIR002621
2024-02-15,11:03:20,Connaught Place Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002622
2022-04-07,07:03:50,Bandra Police Station,New Delhi,Delhi,Cyber Crime,FIR002623
2022-03-01,14:59:22,Park Street Police Station,Mumbai,Maharashtra,Fraud,FIR002624
2020-10-10,20:00:04,Park Street Police Station,New Delhi,Delhi,Fraud,FIR002625
2022-01-22,09:57:23,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Assault,FIR002626
2020-12-31,09:50:25,Park Street Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR002627
2021-08-12,14:52:15,Nungambakkam Police Station,Bengaluru,Karnataka,Cyber Crime,FIR002628
2023-11-10,05:11:24,Park Street Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002629
2024-01-10,04:51:32,Park Street Police Station,New Delhi,Delhi,Cyber Crime,FIR002630
2020-10-20,09:23:29,MG Road Police Station,Bengaluru,Karnataka,Cyber Crime,FIR002631
2021-06-09,01:07:24,Sector 18 Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002632
2022-10-04,17:43:59,MG Road Police Station,Jaipur,Rajasthan,Fraud,FIR002633
2021-09-23,11:03:03,MG Road Police Station,Jaipur,Rajasthan,Fraud,FIR002634
2021-07-12,13:54:51,Sector 18 Police Station,Bengaluru,Karnataka,Robbery,FIR002635
2024-03-11,08:29:17,Park Street Police Station,New Delhi,Delhi,Murder,FIR002636
2024-05-12,04:02:07,Sector 18 Police Station,Jaipur,Rajasthan,Robbery,FIR002637
2021-06-02,12:33:22,Sector 18 Police Station,Jaipur,Rajasthan,Murder,FIR002638
2024-04-02,04:47:58,Sector 18 Police Station,Bengaluru,Karnataka,Cyber Crime,FIR002639
2021-12-13,17:34:00,Sector 18 Police Station,Ahmedabad,Gujarat,Fraud,FIR002640
2023-06-26,18:34:40,Cantonment Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002641
2023-04-21,11:12:02,Lajpat Nagar Police Station,Kolkata,West Bengal,Theft,FIR002642
2024-04-27,11:31:04,Park Street Police Station,New Delhi,Delhi,Robbery,FIR002643
2023-01-10,13:50:23,Lajpat Nagar Police Station,Mumbai,Maharashtra,Robbery,FIR002644
2023-04-18,12:24:16,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Fraud,FIR002645
2020-09-16,02:55:57,Cantonment Police Station,Jaipur,Rajasthan,Assault,FIR002646
2021-09-30,07:17:00,Nungambakkam Police Station,New Delhi,Delhi,Robbery,FIR002647
2024-08-29,04:51:58,Lajpat Nagar Police Station,Kolkata,West Bengal,Murder,FIR002648
2024-08-21,03:08:16,MG Road Police Station,Lucknow,Uttar Pradesh,Assault,FIR002649
2023-11-15,07:48:24,Nungambakkam Police Station,Jaipur,Rajasthan,Theft,FIR002650
2022-03-04,14:11:41,Cantonment Police Station,Mumbai,Maharashtra,Cyber Crime,FIR002651
2022-02-27,00:20:02,Lajpat Nagar Police Station,Bengaluru,Karnataka,Assault,FIR002652
2021-05-23,12:57:45,Sector 18 Police Station,Patna,Bihar,Assault,FIR002653
2020-11-11,20:17:32,Sector 18 Police Station,Kolkata,West Bengal,Fraud,FIR002654
2022-10-01,13:16:18,MG Road Police Station,Jaipur,Rajasthan,Murder,FIR002655
2022-10-18,16:27:18,Bandra Police Station,New Delhi,Delhi,Robbery,FIR002656
2023-02-01,00:50:34,MG Road Police Station,Mumbai,Maharashtra,Cyber Crime,FIR002657
2021-02-26,20:26:20,Bandra Police Station,Ahmedabad,Gujarat,Murder,FIR002658
2024-08-27,08:26:41,Nungambakkam Police Station,Ahmedabad,Gujarat,Robbery,FIR002659
2022-12-05,09:32:52,MG Road Police Station,Ahmedabad,Gujarat,Theft,FIR002660
2023-08-27,22:04:56,Park Street Police Station,Kolkata,West Bengal,Cyber Crime,FIR002661
2023-02-11,01:39:34,MG Road Police Station,Kolkata,West Bengal,Assault,FIR002662
2022-02-28,17:14:37,Lajpat Nagar Police Station,Bengaluru,Karnataka,Cyber Crime,FIR002663
2022-01-02,03:15:55,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Fraud,FIR002664
2023-05-06,09:33:14,Park Street Police Station,Bengaluru,Karnataka,Robbery,FIR002665
2024-01-10,22:07:17,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Murder,FIR002666
2020-11-21,16:47:07,Sector 18 Police Station,Bengaluru,Karnataka,Robbery,FIR002667
2021-03-01,03:22:15,Lajpat Nagar Police Station,Kolkata,West Bengal,Cyber Crime,FIR002668
2023-06-14,01:41:53,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Fraud,FIR002669
2022-10-13,16:25:49,Lajpat Nagar Police Station,Mumbai,Maharashtra,Assault,FIR002670
2021-01-07,15:45:44,Bandra Police Station,Hyderabad,Telangana,Robbery,FIR002671
2021-03-16,14:08:03,Cantonment Police Station,Chennai,Tamil Nadu,Assault,FIR002672
2022-10-12,22:38:19,Sector 18 Police Station,Ahmedabad,Gujarat,Kidnapping,FIR002673
2022-03-17,01:26:47,Lajpat Nagar Police Station,Hyderabad,Telangana,Fraud,FIR002674
2023-08-23,10:28:08,Nungambakkam Police Station,Jaipur,Rajasthan,Theft,FIR002675
2020-11-07,11:41:23,Sector 18 Police Station,Kolkata,West Bengal,Cyber Crime,FIR002676
2022-02-15,06:21:21,Nungambakkam Police Station,Ahmedabad,Gujarat,Murder,FIR002677
2021-01-06,12:22:48,Park Street Police Station,Chennai,Tamil Nadu,Robbery,FIR002678
2021-08-10,02:07:11,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Assault,FIR002679
2021-07-27,19:40:09,Bandra Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002680
2022-01-18,13:17:22,Bandra Police Station,Kolkata,West Bengal,Assault,FIR002681
2023-03-22,19:49:18,Cantonment Police Station,Patna,Bihar,Kidnapping,FIR002682
2022-03-08,21:09:21,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Fraud,FIR002683
2021-10-22,09:57:58,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Murder,FIR002684
2020-11-07,04:37:00,Connaught Place Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002685
2024-02-19,19:59:14,Bandra Police Station,New Delhi,Delhi,Cyber Crime,FIR002686
2023-11-24,07:50:02,Sector 18 Police Station,Hyderabad,Telangana,Murder,FIR002687
2023-09-23,22:17:12,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Kidnapping,FIR002688
2021-10-26,16:23:57,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Assault,FIR002689
2023-03-06,04:17:09,Cantonment Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR002690
2021-08-01,00:46:59,Cantonment Police Station,Patna,Bihar,Cyber Crime,FIR002691
2024-03-07,11:04:50,Bandra Police Station,Hyderabad,Telangana,Assault,FIR002692
2023-10-26,11:31:36,Sector 18 Police Station,Lucknow,Uttar Pradesh,Robbery,FIR002693
2024-08-06,18:31:36,Cantonment Police Station,Kolkata,West Bengal,Theft,FIR002694
2022-07-07,12:44:19,Connaught Place Police Station,Ahmedabad,Gujarat,Theft,FIR002695
2023-11-02,18:08:16,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Murder,FIR002696
2021-05-15,19:59:08,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR002697
2022-08-07,21:05:42,Sector 18 Police Station,Kolkata,West Bengal,Murder,FIR002698
2022-12-26,07:37:45,MG Road Police Station,Hyderabad,Telangana,Murder,FIR002699
2021-12-10,05:13:26,Park Street Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002700
2023-11-21,08:38:57,Connaught Place Police Station,Bengaluru,Karnataka,Murder,FIR002701
2021-04-17,17:05:07,Cantonment Police Station,Kolkata,West Bengal,Cyber Crime,FIR002702
2021-09-11,22:39:12,Park Street Police Station,Hyderabad,Telangana,Fraud,FIR002703
2022-12-22,11:18:44,Bandra Police Station,Hyderabad,Telangana,Robbery,FIR002704
2023-06-06,00:35:08,Park Street Police Station,Patna,Bihar,Fraud,FIR002705
2024-08-27,04:34:56,MG Road Police Station,Bengaluru,Karnataka,Murder,FIR002706
2022-02-15,22:24:08,Cantonment Police Station,Patna,Bihar,Murder,FIR002707
2022-11-03,11:20:29,Nungambakkam Police Station,Kolkata,West Bengal,Robbery,FIR002708
2022-12-18,21:22:01,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Assault,FIR002709
2022-06-15,11:29:23,MG Road Police Station,Bengaluru,Karnataka,Fraud,FIR002710
2023-10-06,07:11:27,Nungambakkam Police Station,Chennai,Tamil Nadu,Fraud,FIR002711
2022-10-02,01:14:44,Connaught Place Police Station,Patna,Bihar,Cyber Crime,FIR002712
2023-07-09,07:36:32,MG Road Police Station,New Delhi,Delhi,Kidnapping,FIR002713
2021-02-05,10:03:40,Lajpat Nagar Police Station,Jaipur,Rajasthan,Theft,FIR002714
2021-09-19,22:21:12,Cantonment Police Station,Chennai,Tamil Nadu,Kidnapping,FIR002715
2022-08-06,10:39:41,Connaught Place Police Station,Hyderabad,Telangana,Fraud,FIR002716
2021-08-20,20:58:18,Park Street Police Station,Bengaluru,Karnataka,Assault,FIR002717
2024-08-08,15:27:13,Park Street Police Station,Lucknow,Uttar Pradesh,Murder,FIR002718
2022-09-04,08:03:18,MG Road Police Station,Patna,Bihar,Assault,FIR002719
2024-08-07,11:05:58,Connaught Place Police Station,Mumbai,Maharashtra,Kidnapping,FIR002720
2024-07-16,15:41:58,Park Street Police Station,New Delhi,Delhi,Murder,FIR002721
2022-09-27,10:38:26,MG Road Police Station,Lucknow,Uttar Pradesh,Fraud,FIR002722
2022-03-25,02:18:32,Cantonment Police Station,Kolkata,West Bengal,Cyber Crime,FIR002723
2023-06-28,18:57:54,Sector 18 Police Station,Chennai,Tamil Nadu,Murder,FIR002724
2022-05-03,14:46:47,Lajpat Nagar Police Station,New Delhi,Delhi,Assault,FIR002725
2021-11-02,07:06:52,Park Street Police Station,New Delhi,Delhi,Cyber Crime,FIR002726
2022-02-20,14:08:00,MG Road Police Station,New Delhi,Delhi,Fraud,FIR002727
2024-05-31,16:37:30,Bandra Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR002728
2021-04-25,05:09:25,Cantonment Police Station,Ahmedabad,Gujarat,Kidnapping,FIR002729
2023-02-16,02:37:50,Connaught Place Police Station,Lucknow,Uttar Pradesh,Fraud,FIR002730
2021-03-29,17:36:25,Cantonment Police Station,New Delhi,Delhi,Cyber Crime,FIR002731
2022-07-28,03:58:03,Bandra Police Station,Chennai,Tamil Nadu,Murder,FIR002732
2022-08-11,05:45:49,Sector 18 Police Station,Patna,Bihar,Cyber Crime,FIR002733
2021-07-07,09:43:07,Sector 18 Police Station,Bengaluru,Karnataka,Robbery,FIR002734
2023-08-05,10:10:16,Bandra Police Station,Lucknow,Uttar Pradesh,Fraud,FIR002735
2021-07-29,14:32:41,MG Road Police Station,Patna,Bihar,Murder,FIR002736
2021-11-02,17:20:01,Cantonment Police Station,Chennai,Tamil Nadu,Robbery,FIR002737
2023-05-12,03:40:49,Park Street Police Station,Kolkata,West Bengal,Murder,FIR002738
2023-02-19,22:44:31,Nungambakkam Police Station,Patna,Bihar,Robbery,FIR002739
2023-11-24,20:26:00,Connaught Place Police Station,Lucknow,Uttar Pradesh,Assault,FIR002740
2021-01-05,06:43:12,Connaught Place Police Station,Jaipur,Rajasthan,Robbery,FIR002741
2023-12-04,22:20:14,Sector 18 Police Station,Hyderabad,Telangana,Cyber Crime,FIR002742
2024-02-03,19:02:42,Connaught Place Police Station,Bengaluru,Karnataka,Robbery,FIR002743
2024-05-15,20:38:18,Park Street Police Station,New Delhi,Delhi,Assault,FIR002744
2023-07-22,03:39:45,Nungambakkam Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002745
2020-10-17,17:02:18,Connaught Place Police Station,Kolkata,West Bengal,Assault,FIR002746
2023-02-28,18:30:04,Park Street Police Station,Kolkata,West Bengal,Assault,FIR002747
2020-11-18,09:11:45,Nungambakkam Police Station,New Delhi,Delhi,Fraud,FIR002748
2023-05-16,06:54:13,Sector 18 Police Station,Chennai,Tamil Nadu,Robbery,FIR002749
2023-04-22,06:59:16,Cantonment Police Station,Jaipur,Rajasthan,Assault,FIR002750
2021-01-16,15:26:41,Connaught Place Police Station,Kolkata,West Bengal,Murder,FIR002751
2023-08-14,11:08:38,Park Street Police Station,Bengaluru,Karnataka,Fraud,FIR002752
2022-10-27,12:23:22,Sector 18 Police Station,Lucknow,Uttar Pradesh,Robbery,FIR002753
2021-06-23,06:08:30,Connaught Place Police Station,Chennai,Tamil Nadu,Fraud,FIR002754
2022-10-23,23:36:51,Bandra Police Station,Jaipur,Rajasthan,Fraud,FIR002755
2021-12-17,11:30:49,MG Road Police Station,Ahmedabad,Gujarat,Fraud,FIR002756
2023-03-05,01:18:37,Park Street Police Station,Mumbai,Maharashtra,Fraud,FIR002757
2021-03-09,22:59:17,Park Street Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002758
2022-07-18,10:05:34,Park Street Police Station,Kolkata,West Bengal,Assault,FIR002759
2021-11-02,23:22:16,Cantonment Police Station,Ahmedabad,Gujarat,Fraud,FIR002760
2022-04-12,22:34:05,Connaught Place Police Station,Lucknow,Uttar Pradesh,Murder,FIR002761
2024-01-21,01:22:27,Sector 18 Police Station,Ahmedabad,Gujarat,Murder,FIR002762
2022-10-12,02:30:03,Nungambakkam Police Station,Ahmedabad,Gujarat,Kidnapping,FIR002763
2020-11-30,09:42:52,Bandra Police Station,Hyderabad,Telangana,Murder,FIR002764
2023-05-21,07:38:08,Nungambakkam Police Station,Bengaluru,Karnataka,Kidnapping,FIR002765
2022-12-27,14:48:07,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Assault,FIR002766
2023-04-19,15:31:20,Lajpat Nagar Police Station,Mumbai,Maharashtra,Cyber Crime,FIR002767
2022-06-13,08:01:06,Connaught Place Police Station,Ahmedabad,Gujarat,Theft,FIR002768
2021-10-19,20:41:57,Nungambakkam Police Station,Patna,Bihar,Kidnapping,FIR002769
2020-11-20,02:26:03,Bandra Police Station,Chennai,Tamil Nadu,Robbery,FIR002770
2023-12-12,00:48:55,Park Street Police Station,Kolkata,West Bengal,Kidnapping,FIR002771
2021-10-08,07:10:10,Lajpat Nagar Police Station,Bengaluru,Karnataka,Cyber Crime,FIR002772
2023-08-29,23:30:38,Nungambakkam Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002773
2020-10-25,17:36:23,MG Road Police Station,Hyderabad,Telangana,Fraud,FIR002774
2021-02-21,14:22:17,Sector 18 Police Station,New Delhi,Delhi,Murder,FIR002775
2021-02-01,05:04:44,Bandra Police Station,Chennai,Tamil Nadu,Kidnapping,FIR002776
2022-05-11,18:42:14,Connaught Place Police Station,Bengaluru,Karnataka,Murder,FIR002777
2020-10-15,11:59:33,Cantonment Police Station,Kolkata,West Bengal,Murder,FIR002778
2022-07-20,08:52:18,Bandra Police Station,New Delhi,Delhi,Kidnapping,FIR002779
2024-08-06,08:20:32,Nungambakkam Police Station,Hyderabad,Telangana,Murder,FIR002780
2021-06-27,00:15:34,Bandra Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR002781
2021-09-05,17:58:25,Park Street Police Station,Hyderabad,Telangana,Assault,FIR002782
2023-08-09,04:04:25,Connaught Place Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002783
2020-10-15,13:53:50,MG Road Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR002784
2021-12-26,11:08:36,Cantonment Police Station,Mumbai,Maharashtra,Cyber Crime,FIR002785
2022-08-08,14:27:28,Park Street Police Station,Kolkata,West Bengal,Theft,FIR002786
2020-11-23,16:46:15,MG Road Police Station,Kolkata,West Bengal,Cyber Crime,FIR002787
2022-11-07,23:45:22,Connaught Place Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002788
2022-09-13,19:41:07,Bandra Police Station,Bengaluru,Karnataka,Assault,FIR002789
2022-05-17,02:17:31,Connaught Place Police Station,Mumbai,Maharashtra,Assault,FIR002790
2023-08-29,03:38:22,Lajpat Nagar Police Station,Bengaluru,Karnataka,Fraud,FIR002791
2024-01-27,03:29:45,Cantonment Police Station,Hyderabad,Telangana,Kidnapping,FIR002792
2021-04-10,20:21:09,Bandra Police Station,Mumbai,Maharashtra,Robbery,FIR002793
2021-06-12,23:45:59,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002794
2023-09-05,04:56:09,MG Road Police Station,Patna,Bihar,Murder,FIR002795
2024-01-02,04:23:46,Sector 18 Police Station,Patna,Bihar,Murder,FIR002796
2023-05-13,05:22:05,Cantonment Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR002797
2023-10-29,04:09:25,Sector 18 Police Station,New Delhi,Delhi,Fraud,FIR002798
2020-09-17,02:32:21,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Assault,FIR002799
2022-06-11,15:28:02,Sector 18 Police Station,Mumbai,Maharashtra,Theft,FIR002800
2023-03-12,23:39:27,Lajpat Nagar Police Station,Patna,Bihar,Robbery,FIR002801
2023-01-02,20:17:16,Sector 18 Police Station,Jaipur,Rajasthan,Murder,FIR002802
2024-08-19,03:55:22,Sector 18 Police Station,Kolkata,West Bengal,Kidnapping,FIR002803
2022-10-13,19:56:33,Connaught Place Police Station,Kolkata,West Bengal,Theft,FIR002804
2024-05-09,00:26:07,Cantonment Police Station,Mumbai,Maharashtra,Robbery,FIR002805
2023-03-21,11:13:19,MG Road Police Station,Bengaluru,Karnataka,Cyber Crime,FIR002806
2021-05-06,14:00:25,Connaught Place Police Station,Mumbai,Maharashtra,Murder,FIR002807
2022-05-30,13:49:35,Sector 18 Police Station,New Delhi,Delhi,Fraud,FIR002808
2021-08-25,01:41:33,Lajpat Nagar Police Station,Kolkata,West Bengal,Murder,FIR002809
2022-09-22,08:10:54,Bandra Police Station,Chennai,Tamil Nadu,Fraud,FIR002810
2022-12-31,17:53:28,Sector 18 Police Station,New Delhi,Delhi,Kidnapping,FIR002811
2023-11-18,02:30:42,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Fraud,FIR002812
2020-12-07,23:16:02,Bandra Police Station,Chennai,Tamil Nadu,Assault,FIR002813
2021-10-16,22:39:19,Bandra Police Station,Patna,Bihar,Theft,FIR002814
2024-04-01,16:41:44,Sector 18 Police Station,Jaipur,Rajasthan,Assault,FIR002815
2023-12-02,04:41:58,Park Street Police Station,Mumbai,Maharashtra,Assault,FIR002816
2024-01-07,07:33:14,Bandra Police Station,Patna,Bihar,Kidnapping,FIR002817
2023-07-25,10:31:37,Sector 18 Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002818
2022-10-18,07:57:10,MG Road Police Station,Hyderabad,Telangana,Robbery,FIR002819
2020-10-04,03:56:07,MG Road Police Station,Jaipur,Rajasthan,Robbery,FIR002820
2021-08-23,18:17:41,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002821
2024-02-08,14:22:55,MG Road Police Station,Ahmedabad,Gujarat,Fraud,FIR002822
2022-09-23,16:06:51,Cantonment Police Station,New Delhi,Delhi,Fraud,FIR002823
2023-04-23,14:57:48,Bandra Police Station,Lucknow,Uttar Pradesh,Theft,FIR002824
2022-08-19,09:06:26,Nungambakkam Police Station,New Delhi,Delhi,Kidnapping,FIR002825
2023-12-01,00:49:37,Bandra Police Station,Lucknow,Uttar Pradesh,Assault,FIR002826
2023-10-18,03:38:27,Lajpat Nagar Police Station,Hyderabad,Telangana,Cyber Crime,FIR002827
2021-04-11,13:54:59,MG Road Police Station,Hyderabad,Telangana,Robbery,FIR002828
2023-08-21,22:25:46,Lajpat Nagar Police Station,Kolkata,West Bengal,Kidnapping,FIR002829
2023-02-20,02:11:31,Bandra Police Station,Ahmedabad,Gujarat,Robbery,FIR002830
2021-01-30,02:20:51,Cantonment Police Station,Mumbai,Maharashtra,Cyber Crime,FIR002831
2023-08-29,17:14:28,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Murder,FIR002832
2023-11-28,13:52:55,Park Street Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR002833
2021-11-23,23:16:50,Connaught Place Police Station,Chennai,Tamil Nadu,Murder,FIR002834
2021-11-18,22:24:48,Connaught Place Police Station,Ahmedabad,Gujarat,Kidnapping,FIR002835
2023-10-13,22:53:16,Nungambakkam Police Station,Chennai,Tamil Nadu,Robbery,FIR002836
2021-04-01,04:08:23,Nungambakkam Police Station,Hyderabad,Telangana,Theft,FIR002837
2022-01-22,22:31:36,Lajpat Nagar Police Station,Jaipur,Rajasthan,Fraud,FIR002838
2023-09-05,00:53:46,Bandra Police Station,Bengaluru,Karnataka,Robbery,FIR002839
2023-12-23,20:38:49,Cantonment Police Station,New Delhi,Delhi,Murder,FIR002840
2022-07-12,11:18:43,Lajpat Nagar Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002841
2021-12-24,07:56:31,Park Street Police Station,Mumbai,Maharashtra,Theft,FIR002842
2021-11-12,02:31:46,Connaught Place Police Station,Bengaluru,Karnataka,Murder,FIR002843
2023-09-14,22:10:23,Nungambakkam Police Station,New Delhi,Delhi,Murder,FIR002844
2023-08-08,19:15:37,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Murder,FIR002845
2021-01-22,08:33:38,Park Street Police Station,Kolkata,West Bengal,Murder,FIR002846
2021-02-07,04:38:24,Lajpat Nagar Police Station,Kolkata,West Bengal,Cyber Crime,FIR002847
2023-02-03,12:27:42,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002848
2021-05-16,06:08:59,Park Street Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002849
2021-04-15,21:35:59,Nungambakkam Police Station,Kolkata,West Bengal,Robbery,FIR002850
2023-03-18,23:28:59,Park Street Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR002851
2022-05-06,07:20:39,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Kidnapping,FIR002852
2023-08-04,04:22:11,Cantonment Police Station,Lucknow,Uttar Pradesh,Murder,FIR002853
2022-02-13,16:34:30,Park Street Police Station,New Delhi,Delhi,Kidnapping,FIR002854
2021-11-16,10:31:10,Connaught Place Police Station,New Delhi,Delhi,Theft,FIR002855
2022-06-20,04:45:52,Cantonment Police Station,New Delhi,Delhi,Robbery,FIR002856
2022-08-28,20:57:56,Nungambakkam Police Station,New Delhi,Delhi,Murder,FIR002857
2021-01-29,20:22:12,Sector 18 Police Station,Jaipur,Rajasthan,Cyber Crime,FIR002858
2021-12-09,21:19:14,Nungambakkam Police Station,Hyderabad,Telangana,Murder,FIR002859
2024-05-13,02:55:40,Cantonment Police Station,Mumbai,Maharashtra,Robbery,FIR002860
2024-03-16,07:30:32,Nungambakkam Police Station,Kolkata,West Bengal,Kidnapping,FIR002861
2022-10-16,17:19:01,Nungambakkam Police Station,New Delhi,Delhi,Fraud,FIR002862
2022-09-13,17:08:42,Sector 18 Police Station,Kolkata,West Bengal,Murder,FIR002863
2021-02-22,16:48:55,Connaught Place Police Station,Jaipur,Rajasthan,Kidnapping,FIR002864
2021-10-09,15:01:00,Lajpat Nagar Police Station,Mumbai,Maharashtra,Assault,FIR002865
2023-08-31,01:38:47,Nungambakkam Police Station,Mumbai,Maharashtra,Murder,FIR002866
2023-10-13,08:20:40,Cantonment Police Station,Mumbai,Maharashtra,Cyber Crime,FIR002867
2023-09-16,22:34:59,Cantonment Police Station,Chennai,Tamil Nadu,Assault,FIR002868
2021-10-07,10:59:11,Connaught Place Police Station,Mumbai,Maharashtra,Fraud,FIR002869
2020-12-06,20:28:34,Nungambakkam Police Station,Ahmedabad,Gujarat,Assault,FIR002870
2020-10-03,18:22:48,Nungambakkam Police Station,Ahmedabad,Gujarat,Robbery,FIR002871
2024-02-18,20:37:30,Sector 18 Police Station,Lucknow,Uttar Pradesh,Robbery,FIR002872
2022-03-18,13:22:47,MG Road Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR002873
2022-04-04,23:56:16,Bandra Police Station,Mumbai,Maharashtra,Murder,FIR002874
2024-02-17,17:10:47,Connaught Place Police Station,Jaipur,Rajasthan,Theft,FIR002875
2020-10-30,10:59:58,MG Road Police Station,Patna,Bihar,Theft,FIR002876
2021-03-21,11:57:31,MG Road Police Station,New Delhi,Delhi,Assault,FIR002877
2021-06-01,10:49:39,Nungambakkam Police Station,Chennai,Tamil Nadu,Kidnapping,FIR002878
2024-08-19,13:29:55,Nungambakkam Police Station,New Delhi,Delhi,Kidnapping,FIR002879
2024-04-03,17:44:21,Nungambakkam Police Station,Mumbai,Maharashtra,Kidnapping,FIR002880
2023-06-24,22:26:19,Bandra Police Station,Ahmedabad,Gujarat,Murder,FIR002881
2022-08-15,07:07:46,MG Road Police Station,Hyderabad,Telangana,Assault,FIR002882
2024-06-01,03:09:34,Cantonment Police Station,Hyderabad,Telangana,Murder,FIR002883
2022-05-02,07:08:02,Cantonment Police Station,Kolkata,West Bengal,Assault,FIR002884
2020-09-26,06:30:23,Lajpat Nagar Police Station,Jaipur,Rajasthan,Kidnapping,FIR002885
2021-05-20,23:21:35,Nungambakkam Police Station,Ahmedabad,Gujarat,Kidnapping,FIR002886
2023-12-19,18:15:13,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Fraud,FIR002887
2022-05-04,13:48:27,Lajpat Nagar Police Station,Kolkata,West Bengal,Robbery,FIR002888
2022-07-16,18:30:27,Nungambakkam Police Station,Chennai,Tamil Nadu,Murder,FIR002889
2021-09-28,23:09:08,Nungambakkam Police Station,New Delhi,Delhi,Robbery,FIR002890
2021-07-07,12:31:14,Bandra Police Station,Lucknow,Uttar Pradesh,Theft,FIR002891
2024-02-26,19:25:01,Sector 18 Police Station,Jaipur,Rajasthan,Assault,FIR002892
2022-07-03,18:45:56,Lajpat Nagar Police Station,Patna,Bihar,Cyber Crime,FIR002893
2024-06-05,16:14:58,Cantonment Police Station,Jaipur,Rajasthan,Robbery,FIR002894
